project	n_samples	n_experiments	n_runs	runs_per_sample_max	strict_1to1	n_assay_triples	distinct_wells	well_coverage	looks_plate	plate_format	plates_est	assay_triples	found_by
PRJNA811337	36	36	36	1	True	1	2	1.0	False		18.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA837188	36	36	36	1	True	2	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA868942	36	36	36	1	True	2	11	0.306	False		3.27	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA875101	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA891715	36	36	60	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA907130	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA910517	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA926323	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA933582	36	36	36	1	True	1	6	1.0	False		6.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA935940	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA936921	36	36	36	1	True	1	2	1.0	False		18.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA942287	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	bulk RNA-seq
PRJNA947624	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA983847	36	36	36	1	True	1	25	0.694	False		1.44	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA990921	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA991576	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	single nucleus RNA-seq
PRJNA1089389	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|PolyA	bulk RNA-seq
PRJNA1109377	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1143379	35	35	113	4	False	1	1	0.142	False		35.0	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	10x Genomics Chromium
PRJNA1143545	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1149095	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1200886	35	35	35	1	True	3	0	0.0	False			OTHER|GENOMIC|other;RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1292783	35	35	35	1	True	3	0	0.0	False			ATAC-seq|GENOMIC SINGLE CELL|PCR;RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1313939	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1378747	35	35	55	3	False	2	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1405558	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1433258	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA477352	35	35	35	1	True	1	3	0.743	False		11.67	RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA549887	35	35	35	1	True	1	6	0.657	False		5.83	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA615145	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA625202	35	35	65	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA656542	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA844923	35	35	70	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA856730	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA913584	35	35	35	1	True	2	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|CAGE;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA938473	35	35	35	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA974842	35	35	35	1	True	1	3	1.0	False		11.67	ATAC-seq|GENOMIC|other	bulk RNA-seq
PRJEB24790	34	34	34	1	True	1	0	0.0	False			ssRNA-seq|TRANSCRIPTOMIC|Oligo-dT	bulk RNA-seq
PRJEB33095	34	34	58	2	False	1	0	0.0	False			ssRNA-seq|TRANSCRIPTOMIC|RANDOM	TruSeq Stranded mRNA
PRJEB37246	34	34	37	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|PolyA	bulk RNA-seq
PRJNA1075773	34	34	45	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	single nucleus RNA-seq
PRJNA1102884	34	34	34	1	True	1	8	0.882	False		4.25	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1132907	34	34	34	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
